Index,File,Nodes,Total Nodes,Butterflies,X-vars,C-vars,Total vars,Total constraints,Crossings,Opttime,Status,Nodes visited,Setup Time
0,north/g.10.72.graphml,10,12,0,8,7,27,14,0,0.00902414321899414,2,1,0.02
1,north/g.13.45.graphml,13,13,0,31,2,46,4,0,0.0030438899993896484,2,0,0.002
2,north/g.10.11.graphml,10,10,0,15,0,25,0,0,0.001589059829711914,2,0,0.001
3,Rome-Lib/graficon11nodi/grafo233.11,11,18,0,15,12,45,24,0,0.001650094985961914,2,0,0.002
4,Rome-Lib/graficon12nodi/grafo2240.12,12,16,0,12,11,39,22,0,0.02414989471435547,2,1,0.002
5,Rome-Lib/graficon11nodi/grafo324.11,11,13,0,13,11,37,22,0,0.0015270709991455078,2,0,0.002
6,Rome-Lib/graficon11nodi/grafo1866.11,11,19,0,40,48,107,96,0,0.016154050827026367,2,1,0.005
7,Rome-Lib/graficon12nodi/grafo604.12,12,12,0,8,4,24,8,0,0.0016748905181884766,2,0,0.001
8,Rome-Lib/graficon16nodi/grafo418.16,16,19,0,40,38,97,76,0,0.014851093292236328,2,1,0.004
9,Rome-Lib/graficon15nodi/grafo2806.15,15,18,0,27,27,72,54,0,0.013277053833007812,2,1,0.003
10,Rome-Lib/graficon11nodi/grafo2384.11,11,15,0,9,5,29,10,0,0.0016450881958007812,2,0,0.001
11,Rome-Lib/graficon10nodi/grafo1010.10,10,12,0,17,14,43,28,0,0.0016131401062011719,2,0,0.002
12,north/g.12.78.graphml,12,13,1,10,8,31,16,1,0.011740922927856445,2,1,0.001
13,Rome-Lib/graficon12nodi/grafo1843.12,12,14,1,12,13,39,26,2,0.001619100570678711,2,0,0.002
14,north/g.11.21.graphml,11,11,0,36,0,47,0,0,0.0023779869079589844,2,0,0.002
15,north/g.12.49.graphml,12,14,0,13,10,37,20,0,0.0019230842590332031,2,0,0.002
16,north/g.14.31.graphml,14,17,0,14,8,39,16,0,0.002321958541870117,2,0,0.002
17,Rome-Lib/graficon11nodi/grafo1061.11,11,13,0,16,17,46,34,1,0.012784004211425781,2,1,0.002
18,Rome-Lib/graficon14nodi/grafo777.14,14,17,0,16,13,46,26,0,0.0018658638000488281,2,0,0.002
19,north/g.15.14.graphml,15,18,0,31,23,72,46,0,0.0026428699493408203,2,0,0.003
20,Rome-Lib/graficon15nodi/grafo1971.15,15,19,0,38,47,104,94,1,0.014088869094848633,2,1,0.005
21,Rome-Lib/graficon11nodi/grafo1912.11,11,16,1,33,40,89,80,3,0.01579594612121582,2,1,0.004
22,Rome-Lib/graficon13nodi/grafo361.13,13,19,0,37,43,99,86,0,0.014240026473999023,2,1,0.005
23,north/g.11.3.graphml,11,11,0,7,5,23,10,0,0.0012290477752685547,2,0,0.001
24,Rome-Lib/graficon16nodi/grafo2241.16,16,17,0,34,56,107,112,5,0.04310488700866699,2,1,0.005
25,north/g.10.13.graphml,10,10,0,8,7,25,14,0,0.0013461112976074219,2,0,0.001
26,Rome-Lib/graficon17nodi/grafo816.17,17,17,1,14,13,44,26,1,0.0016810894012451172,2,0,0.002
27,Rome-Lib/graficon12nodi/grafo888.12,12,14,0,23,19,56,38,0,0.01285099983215332,2,1,0.003
28,north/g.11.73.graphml,11,14,0,9,6,29,12,0,0.0017139911651611328,2,0,0.001
29,Rome-Lib/graficon10nodi/grafo2111.10,10,16,1,25,28,69,56,2,0.013434886932373047,2,1,0.003
30,Rome-Lib/graficon11nodi/grafo685.11,11,13,0,19,15,47,30,0,0.0020411014556884766,2,0,0.002
31,Rome-Lib/graficon11nodi/grafo2433.11,11,13,0,8,7,28,14,0,0.0013310909271240234,2,0,0.001
32,Rome-Lib/graficon12nodi/grafo756.12,12,12,0,5,2,19,4,0,0.0005528926849365234,2,0,0.001
33,Rome-Lib/graficon16nodi/grafo366.16,16,17,0,24,22,63,44,0,0.002231121063232422,2,0,0.003
34,Rome-Lib/graficon12nodi/grafo666.12,12,17,0,24,26,67,52,1,0.023524045944213867,2,1,0.003
35,Rome-Lib/graficon15nodi/grafo780.15,15,19,0,35,37,91,74,0,0.0028998851776123047,2,0,0.004
36,north/g.15.11.graphml,15,19,0,17,7,43,14,0,0.0020570755004882812,2,0,0.002
37,Rome-Lib/graficon15nodi/grafo965.15,15,17,0,23,20,60,40,1,0.002624988555908203,2,0,0.003
38,Rome-Lib/graficon10nodi/grafo466.10,10,12,0,9,7,28,14,0,0.0013420581817626953,2,0,0.001
39,Rome-Lib/graficon11nodi/grafo2964.11,11,19,0,18,11,48,22,0,0.0021049976348876953,2,0,0.002
40,north/g.14.16.graphml,14,14,0,30,20,64,40,0,0.0024018287658691406,2,0,0.003
41,Rome-Lib/graficon11nodi/grafo2139.11,11,15,3,24,32,71,64,4,0.002241849899291992,2,0,0.004
42,Rome-Lib/graficon11nodi/grafo3097.11,11,14,0,10,7,31,14,0,0.0013010501861572266,2,0,0.001
43,north/g.12.121.graphml,12,15,9,20,37,72,74,9,0.019622802734375,2,1,0.004
44,north/g.12.45.graphml,12,14,0,18,14,46,28,0,0.012296915054321289,2,1,0.002
45,north/g.18.34.graphml,18,19,0,28,6,53,12,0,0.002521038055419922,2,0,0.002
46,Rome-Lib/graficon14nodi/grafo285.14,14,18,1,31,35,84,70,1,0.0143280029296875,2,1,0.004
47,north/g.16.55.graphml,16,16,1,49,6,71,12,1,0.003084897994995117,2,0,0.003
48,north/g.10.74.graphml,10,12,0,14,14,40,28,1,0.011813879013061523,2,1,0.002
49,Rome-Lib/graficon13nodi/grafo530.13,13,14,0,22,22,58,44,0,0.0021848678588867188,2,0,0.003
50,Rome-Lib/graficon20nodi/grafo755.20,20,28,0,61,62,151,124,2,0.051136016845703125,2,1,0.015
51,Rome-Lib/graficon17nodi/grafo1794.17,17,22,0,53,50,125,100,0,0.010368824005126953,2,1,0.013
52,north/g.14.38.graphml,14,26,6,36,52,114,104,6,0.0062100887298583984,2,1,0.009
53,Rome-Lib/graficon14nodi/grafo1039.14,14,27,0,78,98,203,196,1,0.01114511489868164,2,1,0.015
54,Rome-Lib/graficon17nodi/grafo723.17,17,21,0,35,35,91,70,0,0.0247800350189209,2,1,0.006
55,Rome-Lib/graficon15nodi/grafo2169.15,15,24,0,65,72,161,144,1,0.006587982177734375,2,1,0.009
56,Rome-Lib/graficon15nodi/grafo2903.15,15,20,0,35,31,86,62,1,0.02384185791015625,2,1,0.004
57,Rome-Lib/graficon15nodi/grafo2225.15,15,23,0,27,26,76,52,0,0.013473033905029297,2,1,0.003
58,Rome-Lib/graficon16nodi/grafo2467.16,16,25,0,47,39,111,78,0,0.015698909759521484,2,1,0.005
59,Rome-Lib/graficon21nodi/grafo1049.21,21,29,0,39,33,101,66,0,0.014554977416992188,2,1,0.004
60,Rome-Lib/graficon13nodi/grafo443.13,13,20,0,34,40,94,80,2,0.00391387939453125,2,1,0.004
61,Rome-Lib/graficon14nodi/grafo1662.14,14,24,0,48,64,136,128,2,0.005589008331298828,2,1,0.007
62,Rome-Lib/graficon25nodi/grafo1203.25,25,29,0,50,33,112,66,0,0.004148006439208984,2,0,0.005
63,Rome-Lib/graficon15nodi/grafo2928.15,15,22,0,31,32,85,64,1,0.002763986587524414,2,0,0.004
64,Rome-Lib/graficon11nodi/grafo2136.11,11,25,0,39,42,106,84,2,0.020923852920532227,2,1,0.005
