Index,File,Nodes,Total Nodes,Butterflies,X-vars,C-vars,Total vars,Total constraints,Crossings,Opttime,Status,Nodes visited,Setup Time
0,north/g.10.72.graphml,10,12,0,16,14,30,49,0,0.0013229846954345703,2,0,0.023
1,north/g.13.45.graphml,13,13,0,12,4,16,20,0,0.0006048679351806641,2,0,0.002
2,north/g.10.11.graphml,10,10,0,30,0,30,55,0,3.695487976074219e-05,2,0,0.002
3,Rome-Lib/graficon11nodi/grafo233.11,11,18,0,30,24,54,87,0,0.002468109130859375,2,0,0.004
4,Rome-Lib/graficon12nodi/grafo2240.12,12,16,0,24,22,46,75,0,0.00034308433532714844,2,0,0.003
5,Rome-Lib/graficon11nodi/grafo324.11,11,13,0,26,22,48,84,0,0.001605987548828125,2,0,0.003
6,Rome-Lib/graficon11nodi/grafo1866.11,11,19,0,80,96,176,412,0,0.026157855987548828,2,1,0.011
7,Rome-Lib/graficon12nodi/grafo604.12,12,12,0,16,8,24,32,0,0.0004239082336425781,2,0,0.002
8,Rome-Lib/graficon16nodi/grafo418.16,16,19,0,70,68,138,315,0,0.013499975204467773,2,1,0.009
9,Rome-Lib/graficon15nodi/grafo2806.15,15,18,0,54,54,108,216,0,0.001873016357421875,2,0,0.007
10,Rome-Lib/graficon11nodi/grafo2384.11,11,15,0,18,10,28,38,0,0.00046706199645996094,2,0,0.002
11,Rome-Lib/graficon10nodi/grafo1010.10,10,12,0,34,28,62,119,0,0.011197090148925781,2,1,0.004
12,north/g.12.78.graphml,12,13,1,20,16,36,63,1,0.0011692047119140625,2,0,0.003
13,Rome-Lib/graficon12nodi/grafo1843.12,12,14,1,24,26,50,100,2,0.0018382072448730469,2,0,0.004
14,north/g.11.21.graphml,11,11,0,0,0,0,0,0,0.00015807151794433594,2,0,0.001
15,north/g.12.49.graphml,12,14,0,26,20,46,75,0,0.0011339187622070312,2,0,0.003
16,north/g.14.31.graphml,14,17,0,20,12,32,44,0,0.0002868175506591797,2,0,0.002
17,Rome-Lib/graficon11nodi/grafo1061.11,11,13,0,32,34,66,123,1,0.0016150474548339844,2,1,0.004
18,Rome-Lib/graficon14nodi/grafo777.14,14,17,0,24,22,46,75,0,0.001589059829711914,2,0,0.003
19,north/g.15.14.graphml,15,18,0,40,34,74,135,0,0.011150836944580078,2,1,0.004
20,Rome-Lib/graficon15nodi/grafo1971.15,15,19,0,76,94,170,388,1,0.013576030731201172,2,1,0.01
21,Rome-Lib/graficon11nodi/grafo1912.11,11,16,1,66,80,146,368,3,0.013353824615478516,2,1,0.009
22,Rome-Lib/graficon13nodi/grafo361.13,13,19,0,74,86,160,348,0,0.002373218536376953,2,0,0.009
23,north/g.11.3.graphml,11,11,0,14,10,24,34,0,0.0005171298980712891,2,0,0.002
24,Rome-Lib/graficon16nodi/grafo2241.16,16,17,0,68,112,180,464,5,0.035073041915893555,2,1,0.012
25,north/g.10.13.graphml,10,10,0,16,14,30,53,0,0.0010650157928466797,2,0,0.002
26,Rome-Lib/graficon17nodi/grafo816.17,17,17,1,28,26,54,98,1,0.0013577938079833984,2,0,0.003
27,Rome-Lib/graficon12nodi/grafo888.12,12,14,0,46,38,84,164,0,1.1274590492248535,2,1,0.005
28,north/g.11.73.graphml,11,14,0,18,12,30,45,0,0.0011470317840576172,2,0,0.002
29,Rome-Lib/graficon10nodi/grafo2111.10,10,16,1,50,56,106,260,2,0.0030968189239501953,2,0,0.008
30,Rome-Lib/graficon11nodi/grafo685.11,11,13,0,38,30,68,124,0,0.011263132095336914,2,1,0.004
31,Rome-Lib/graficon11nodi/grafo2433.11,11,13,0,16,14,30,47,0,0.0003170967102050781,2,0,0.002
32,Rome-Lib/graficon12nodi/grafo756.12,12,12,0,10,4,14,15,0,0.0002779960632324219,2,0,0.001
33,Rome-Lib/graficon16nodi/grafo366.16,16,17,0,48,44,92,190,0,0.0003819465637207031,2,0,0.005
34,Rome-Lib/graficon12nodi/grafo666.12,12,17,0,48,52,100,190,1,0.01151895523071289,2,1,0.006
35,Rome-Lib/graficon15nodi/grafo780.15,15,19,0,70,74,144,324,0,0.012820005416870117,2,1,0.009
36,north/g.15.11.graphml,15,19,0,22,14,36,52,0,0.0007569789886474609,2,0,0.002
37,Rome-Lib/graficon15nodi/grafo965.15,15,17,0,42,38,80,162,1,0.011655807495117188,2,1,0.005
38,Rome-Lib/graficon10nodi/grafo466.10,10,12,0,16,14,30,47,0,0.000885009765625,2,0,0.002
