Index,File,Nodes,Total Nodes,Butterflies,X-vars,C-vars,Total vars,Total constraints,Crossings,Opttime,Status,Nodes visited,Setup Time
0,north/g.10.72.graphml,10,12,0,8,7,15,18,0,0.0010199546813964844,2,0,0.028
1,north/g.13.45.graphml,13,13,0,31,2,33,118,0,8.487701416015625e-05,2,0,0.004
2,north/g.10.11.graphml,10,10,0,15,0,15,40,0,9.608268737792969e-05,2,0,0.002
3,Rome-Lib/graficon11nodi/grafo233.11,11,18,0,15,12,27,36,0,7.200241088867188e-05,2,0,0.002
4,Rome-Lib/graficon12nodi/grafo2240.12,12,16,0,12,11,23,28,0,0.012573003768920898,2,1,0.002
5,Rome-Lib/graficon11nodi/grafo324.11,11,13,0,13,11,24,34,0,0.0012938976287841797,2,0,0.002
6,Rome-Lib/graficon11nodi/grafo1866.11,11,19,0,40,48,88,204,0,0.013424158096313477,2,1,0.006
7,Rome-Lib/graficon12nodi/grafo604.12,12,12,0,8,4,12,12,0,0.00030112266540527344,2,0,0.001
8,Rome-Lib/graficon16nodi/grafo418.16,16,19,0,40,38,78,202,0,0.012533903121948242,2,1,0.006
9,Rome-Lib/graficon15nodi/grafo2806.15,15,18,0,27,27,54,104,0,0.011265993118286133,2,1,0.004
10,Rome-Lib/graficon11nodi/grafo2384.11,11,15,0,9,5,14,14,0,3.504753112792969e-05,2,0,0.001
11,Rome-Lib/graficon10nodi/grafo1010.10,10,12,0,17,14,31,60,0,0.022377967834472656,2,1,0.002
12,north/g.12.78.graphml,12,13,1,10,8,18,22,1,0.011538982391357422,2,1,0.001
13,Rome-Lib/graficon12nodi/grafo1843.12,12,14,1,12,13,25,40,2,0.0012521743774414062,2,1,0.002
14,north/g.11.21.graphml,11,11,0,36,0,36,168,0,7.081031799316406e-05,2,0,0.005
15,north/g.12.49.graphml,12,14,0,13,10,23,32,0,0.010330915451049805,2,1,0.001
16,north/g.14.31.graphml,14,17,0,14,8,22,24,0,0.0005738735198974609,2,0,0.001
17,Rome-Lib/graficon11nodi/grafo1061.11,11,13,0,16,17,33,54,1,0.010481119155883789,2,1,0.002
18,Rome-Lib/graficon14nodi/grafo777.14,14,17,0,16,13,29,40,0,0.010782957077026367,2,1,0.002
19,north/g.15.14.graphml,15,18,0,31,23,54,126,0,0.011260032653808594,2,1,0.004
20,Rome-Lib/graficon15nodi/grafo1971.15,15,19,0,38,47,85,203,1,0.01270294189453125,2,1,0.006
21,Rome-Lib/graficon11nodi/grafo1912.11,11,16,1,33,40,73,194,3,0.01238703727722168,2,1,0.006
22,Rome-Lib/graficon13nodi/grafo361.13,13,19,0,37,43,80,174,0,0.01236104965209961,2,1,0.005
23,north/g.11.3.graphml,11,11,0,7,5,12,12,0,0.00027298927307128906,2,0,0.001
24,Rome-Lib/graficon16nodi/grafo2241.16,16,17,0,34,56,90,216,5,0.03192400932312012,2,1,0.007
25,north/g.10.13.graphml,10,10,0,8,7,15,22,0,0.00080108642578125,2,0,0.001
26,Rome-Lib/graficon17nodi/grafo816.17,17,17,1,14,13,27,38,1,0.0009391307830810547,2,0,0.002
27,Rome-Lib/graficon12nodi/grafo888.12,12,14,0,23,19,42,80,0,0.010919809341430664,2,1,0.003
28,north/g.11.73.graphml,11,14,0,9,6,15,16,0,0.0102081298828125,2,1,0.001
29,Rome-Lib/graficon10nodi/grafo2111.10,10,16,1,25,28,53,138,2,0.011435985565185547,2,1,0.005
30,Rome-Lib/graficon11nodi/grafo685.11,11,13,0,19,15,34,60,0,0.010809898376464844,2,1,0.002
31,Rome-Lib/graficon11nodi/grafo2433.11,11,13,0,8,7,15,18,0,0.01019597053527832,2,1,0.001
32,Rome-Lib/graficon12nodi/grafo756.12,12,12,0,5,2,7,4,0,3.695487976074219e-05,2,0,0.001
33,Rome-Lib/graficon16nodi/grafo366.16,16,17,0,24,22,46,90,0,0.011395931243896484,2,1,0.003
34,Rome-Lib/graficon12nodi/grafo666.12,12,17,0,24,26,50,88,1,0.010918855667114258,2,1,0.003
35,Rome-Lib/graficon15nodi/grafo780.15,15,19,0,35,37,72,164,0,0.011992216110229492,2,1,0.005
36,north/g.15.11.graphml,15,19,0,17,7,24,28,0,5.888938903808594e-05,2,0,0.001
37,Rome-Lib/graficon15nodi/grafo965.15,15,17,0,23,20,43,84,1,0.02222299575805664,2,1,0.003
38,Rome-Lib/graficon10nodi/grafo466.10,10,12,0,9,7,16,18,0,0.0006310939788818359,2,0,0.001
39,Rome-Lib/graficon11nodi/grafo2964.11,11,19,0,18,11,29,38,0,1.1266400814056396,2,1,0.002
40,north/g.14.16.graphml,14,14,0,30,20,50,120,0,0.011132001876831055,2,1,0.004
41,Rome-Lib/graficon11nodi/grafo2139.11,11,15,3,24,32,56,122,4,0.011209964752197266,2,1,0.004
42,Rome-Lib/graficon11nodi/grafo3097.11,11,14,0,10,7,17,20,0,0.0007498264312744141,2,0,0.001
43,north/g.12.121.graphml,12,15,9,20,37,57,158,9,0.030791044235229492,2,1,0.005
44,north/g.12.45.graphml,12,14,0,18,14,32,56,0,0.0011401176452636719,2,0,0.002
45,north/g.18.34.graphml,18,19,0,28,6,34,90,0,0.0009169578552246094,2,0,0.003
46,Rome-Lib/graficon14nodi/grafo285.14,14,18,1,31,35,66,146,1,0.021942853927612305,2,1,0.005
47,north/g.16.55.graphml,16,16,1,49,6,55,254,1,0.0020902156829833984,2,0,0.007
48,north/g.10.74.graphml,10,12,0,14,14,28,50,1,0.00074005126953125,2,0,0.002
